"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPICEJET","EQ","30-Sep-2019","        127.80","        128.25","        128.95","        124.35","        125.00","        125.10","        125.45","    1185974","           148785989.40","      14979","     604330","         50.96"
"SPICEJET","EQ","01-Oct-2019","        125.10","        125.90","        127.90","        120.70","        122.95","        122.85","        124.31","    1598938","           198771380.35","      18386","     701491","         43.87"
"SPICEJET","EQ","03-Oct-2019","        122.85","        125.00","        125.70","        123.00","        124.10","        124.00","        124.22","     963611","           119699575.50","      12005","     360016","         37.36"
"SPICEJET","EQ","04-Oct-2019","        124.00","        124.65","        124.90","        121.25","        122.20","        122.35","        123.00","     662003","            81429268.80","       9662","     341194","         51.54"
"SPICEJET","EQ","07-Oct-2019","        122.35","        122.70","        123.40","        118.00","        119.35","        119.25","        119.96","     732658","            87892288.05","      12021","     335459","         45.79"
"SPICEJET","EQ","09-Oct-2019","        119.25","        119.25","        120.20","        115.15","        117.65","        117.25","        117.12","     922386","           108033923.35","      13185","     424105","         45.98"
"SPICEJET","EQ","10-Oct-2019","        117.25","        117.00","        125.40","        115.35","        125.40","        123.90","        121.02","    1930430","           233629676.50","      20995","     670714","         34.74"
"SPICEJET","EQ","11-Oct-2019","        123.90","        125.00","        125.80","        120.10","        121.00","        121.35","        122.60","     836011","           102497068.00","      11560","     365051","         43.67"
"SPICEJET","EQ","14-Oct-2019","        121.35","        121.40","        125.20","        120.00","        121.75","        122.40","        123.11","    1034768","           127393804.95","      10358","     310295","         29.99"
"SPICEJET","EQ","15-Oct-2019","        122.40","        123.25","        123.40","        121.55","        122.10","        121.95","        122.49","     501877","            61474736.75","      11378","     228042","         45.44"
"SPICEJET","EQ","16-Oct-2019","        121.95","        122.40","        123.00","        119.40","        119.50","        119.80","        120.68","     545938","            65885799.30","       8101","     282475","         51.74"
"SPICEJET","EQ","17-Oct-2019","        119.80","        119.40","        123.50","        119.40","        122.30","        122.30","        121.92","     930673","           113470587.35","       9618","     294391","         31.63"
"SPICEJET","EQ","18-Oct-2019","        122.30","        121.45","        121.50","        119.10","        119.55","        119.60","        120.07","    1058286","           127073663.20","      11310","     605298","         57.20"
"SPICEJET","EQ","22-Oct-2019","        119.60","        119.95","        119.95","        116.70","        117.00","        117.10","        117.97","     858568","           101285515.25","      11795","     526694","         61.35"
"SPICEJET","EQ","23-Oct-2019","        117.10","        116.00","        119.00","        115.25","        115.70","        115.65","        116.48","    1042703","           121453513.40","      17669","     543912","         52.16"
"SPICEJET","EQ","24-Oct-2019","        115.65","        116.30","        118.00","        114.00","        114.15","        114.50","        115.75","    1178010","           136350178.75","      13630","     539007","         45.76"
"SPICEJET","EQ","25-Oct-2019","        114.50","        112.90","        112.90","        101.60","        104.15","        104.45","        106.24","    3569733","           379247379.05","      51829","    1957874","         54.85"
"SPICEJET","EQ","27-Oct-2019","        104.45","        107.90","        111.25","        106.50","        111.05","        110.70","        109.70","     937027","           102796528.55","      10913","     504619","         53.85"
"SPICEJET","EQ","29-Oct-2019","        110.70","        113.00","        117.80","        111.00","        115.50","        115.50","        114.65","    2608863","           299114129.70","      34896","    1048943","         40.21"
